date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:29	29855/29855	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/tencent-multimedia-ads-pctr-challenge	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/tencent-multimedia-ads-pctr-challenge.html	(from http://www.icme2014.org/)
15:44:30	29021/29021	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/huawei-accurate-and-fast-mobile-video-annotation-challenge	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/huawei-accurate-and-fast-mobile-video-annotation-challenge.html	(from http://www.icme2014.org/)
15:44:30	28750/28750	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/isvision-challenge	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/isvision-challenge.html	(from http://www.icme2014.org/)
15:44:31	31131/31131	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/subject-areas	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/subject-areas.html	(from http://www.icme2014.org/)
15:44:32	45304/45304	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/special-sessions	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/special-sessions.html	(from http://www.icme2014.org/)
15:44:33	35472/35472	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/author-guidelines	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/author-guidelines.html	(from http://www.icme2014.org/)
15:44:33	30584/30584	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/paper-submission	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/paper-submission.html	(from http://www.icme2014.org/)
15:44:34	24988/24988	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/registration	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/registration.html	(from http://www.icme2014.org/)
15:44:35	30789/30789	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/venue-hotels	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/venue-hotels.html	(from http://www.icme2014.org/)
15:44:36	35946/35946	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/travel	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/travel.html	(from http://www.icme2014.org/)
15:44:36	29775/29775	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/food	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/food.html	(from http://www.icme2014.org/)
15:44:37	30628/30628	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/city-of-chengdu	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/city-of-chengdu.html	(from http://www.icme2014.org/)
15:44:38	30042/30042	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/places-of-interest	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/places-of-interest.html	(from http://www.icme2014.org/)
15:44:38	26940/26940	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/visa-information	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/visa-information.html	(from http://www.icme2014.org/)
15:44:39	33932/33932	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/chengdu-sightseeing-tours	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/chengdu-sightseeing-tours.html	(from http://www.icme2014.org/)
15:44:41	10228/10228	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/system/app/pages/reportAbuse	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/system/app/pages/reportAbuse.html	(from http://www.icme2014.org/)
15:44:42	8504/8504	---MCZ	200	added ('OK')	text/html	etag:%221392189444552|#public|0|zh_TW|||0%22	http://www.icme2014.org/system/app/pages/removeAccess	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/system/app/pages/removeAccess.html	(from http://www.icme2014.org/)
15:44:48	55662/55662	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202014%2007:07:50%20GMT	http://www.icme2014.org/_/rsrc/1340687183674/config/sponsors.png	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1340687183674/config/sponsors.png	(from http://www.icme2014.org/)
15:44:48	145/145	---M-Z	400	error ('Bad%20Request')	text/html	date:Wed,%2012%20Feb%202014%2007:44:56%20GMT	http://www.icme2014.org/_/tz	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/tz.31.delayed	(from http://www.icme2014.org/)
15:45:03	409090/409090	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202014%2007:15:02%20GMT	http://www.icme2014.org/_/rsrc/1340688868168/config/customLogo.gif?revision=2	C:/Users/mmLab/Desktop/ICME2014_20140212/www.icme2014.org/_/rsrc/1340688868168/config/customLogo0dd8.png	(from http://www.icme2014.org/)
15:45:09	225965/225965	---MC-	200	added ('OK')	text/javascript	date:Wed,%2005%20Feb%202014%2013:46:15%20GMT	http://www.gstatic.com/sites/p/0c14db/system/js/jot_min_view__en.js	C:/Users/mmLab/Desktop/ICME2014_20140212/www.gstatic.com/sites/p/0c14db/system/js/jot_min_view__en.js	(from http://www.icme2014.org/)
